0	 0
2	 0
3	 0
4	 0
5	 0
6	 0
7	 0
8	 0
9	 0
10	 0
11	 0
12	 0
13	 0
14	 0
15	 0
16	 0
17	 0
18	 0
19	 0
20	 0
21	 0
22	 0
23	 1
24	 0
25	 0
26	 0
27	 0
28	 0
29	 0
30	 0
31	 0
32	 0
33	 1
34	 0
35	 0
36	 0
37	 0
38	 0
39	 0
40	 0
41	 0
42	 0
43	 0
44	 0
45	 0
46	 0
47	 1
48	 0
49	 0
50	 1
51	 1
52	 0
53	 0
54	 0
55	 0
56	 0
57	 0
58	 0
59	 0
60	 0
61	 0
62	 0
63	 0
64	 0
65	 0
66	 0
67	 0
68	 0
69	 0
70	 0
71	 0
72	 0
73	 0
74	 0
75	 0
76	 0
77	 0
78	 0
79	 0
80	 0
81	 0
82	 0
83	 0
84	 0
85	 0
86	 0
87	 0
88	 0
89	 0
90	 0
91	 0
92	 0
93	 0
94	 0
95	 0
96	 0
97	 0
98	 0
99	 0
100	 0
101	 1
102	 0
103	 0
104	 0
105	 0
106	 0
107	 0
108	 1
109	 0
110	 1
111	 0
112	 0
113	 0
114	 0
115	 1
116	 0
117	 0
118	 0
119	 0
120	 0
121	 0
122	 0
123	 0
124	 0
125	 0
126	 0
127	 0
128	 0
129	 0
130	 0
131	 1
132	 0
133	 0
134	 0
135	 0
136	 1
137	 0
138	 0
139	 0
140	 0
141	 0
142	 0
143	 0
144	 0
145	 1
146	 0
147	 1
148	 0
149	 0
150	 0
151	 0
152	 0
153	 0
154	 0
155	 0
156	 0
157	 0
158	 0
159	 0
160	 0
161	 0
162	 0
163	 0
164	 0
165	 0
166	 0
167	 0
168	 0
169	 1
170	 0
171	 3
172	 0
173	 0
174	 0
175	 0
176	 0
177	 0
178	 0
179	 0
180	 1
181	 0
182	 0
183	 0
184	 0
185	 0
186	 0
187	 1
188	 0
189	 0
190	 1
191	 1
192	 0
193	 0
194	 0
195	 0
196	 0
197	 0
198	 0
199	 0
200	 1
201	 2
202	 0
203	 0
204	 0
205	 0
206	 0
207	 1
208	 0
209	 0
210	 1
211	 1
212	 0
213	 0
214	 0
215	 0
216	 0
217	 1
218	 1
219	 0
220	 0
221	 1
222	 1
223	 0
224	 0
225	 0
226	 1
227	 0
228	 2
229	 0
230	 0
231	 1
232	 0
233	 0
234	 0
235	 2
236	 0
237	 0
238	 0
239	 0
240	 0
241	 1
242	 0
243	 0
244	 0
245	 0
246	 1
247	 0
248	 0
249	 1
250	 0
251	 1
252	 3
253	 0
254	 1
255	 1
256	 0
257	 1
258	 2
259	 1
260	 0
261	 0
262	 0
263	 0
264	 0
265	 1
266	 0
267	 3
268	 0
269	 1
270	 0
271	 0
272	 0
273	 0
274	 0
275	 0
276	 0
277	 0
278	 0
279	 0
280	 0
281	 0
282	 0
283	 0
284	 0
285	 0
286	 1
287	 0
288	 0
289	 2
290	 2
291	 1
292	 1
293	 0
294	 0
295	 1
296	 0
297	 6
298	 0
299	 0
300	 0
301	 0
302	 1
303	 0
304	 0
305	 0
306	 0
307	 0
308	 0
309	 0
310	 2
311	 1
312	 2
313	 0
314	 0
315	 0
316	 0
317	 0
318	 0
319	 2
320	 0
321	 4
322	 0
323	 0
324	 0
325	 0
326	 1
327	 2
328	 0
329	 1
330	 8
331	 0
332	 1
333	 0
334	 0
335	 0
336	 0
337	 1
338	 0
339	 3
340	 1
341	 0
342	 0
343	 0
344	 1
345	 0
346	 0
347	 0
348	 0
349	 0
350	 0
351	 0
352	 0
353	 2
354	 2
355	 2
356	 0
357	 0
358	 5
359	 0
360	 0
361	 1
362	 1
363	 0
364	 0
365	 0
366	 0
